model_year,brand,model,type,miles_per_gallon,premium_version,msrp,collection_car,,,,,
2020,Mercedes-Benz,AMG C 43 Base 4MATIC,Sedan,20,1,84000,0,,,,,
2021,Porsche,911 Carrera,Coupe,20,0,99900,1,,,,,Descriptive statistics:
2017,BMW,740 i,Sedan,22,1,83000,0,,,,,"The Pie Graph shows 1000 cars model name,"
2020,Ford,Bronco Outer Banks Advanced,SUV,21,1,45000,0,,,,,This shows that they are unique and that there are different model names for each car therefore too many to count
2012,Lexus,LS 460 Crafted Line,Sedan,16,1,71900,0,,,,,
2018,Ford,F-150 XL,Pickup,20,0,28740,0,,,,,
2016,Lincoln,MKX Reserve,SUV,21,1,49000,0,,,,,
2019,Nissan,Rogue SV,SUV,26,0,28500,0,,,,,
2018,Ford,F-150 XLT,Pickup,20,0,35000,0,,,,,
2014,BMW,535 i xDrive,Sedan,20,1,60000,0,,,,,
2008,Saturn,Sky Red Line,Convertible,22,1,28100,0,,,,,
2018,Cadillac,XTS Luxury,Sedan,18,1,60000,0,,,,,
2016,Audi,A6 2.0T Sport,Sedan,25,0,52500,0,,,,,Descriptive statistics:
2019,Kia,Stinger GT2,Sedan,20,1,52000,0,,,,,The Pie Graph shows the Miles travelled of the cars per Gallon
2018,Land,Rover Range Rover Supercharged LWB,SUV,18,1,130000,0,,,,,most of the cars travelled 20 miles which is at 20.2 % of the 1000 cars
2016,Land,Rover Range Rover Sport Supercharged,SUV,22,1,85000,0,,,,,least of the cars travelled 14 miles which is only at 4.1% of the 100 cars
2022,Land,Rover Range Rover P525 Westminster,SUV,18,1,104000,0,,,,,
2018,Toyota,Sequoia Platinum,SUV,13,1,62800,0,,,,,
2018,Mercedes-Benz,GLC 300 GLC 300,SUV,25,0,40000,0,,,,,
2022,Mercedes-Benz,AMG G 63 4MATIC,SUV,13,1,157900,1,,,,,
2015,Mercedes-Benz,C-Class C 300 4MATIC Sport,Sedan,24,1,39000,0,,,,,
2010,Chevrolet,Camaro 2SS,Coupe,16,1,31895,0,,,,,
2019,Ford,F-250 Platinum,Pickup,17,1,72000,0,,,,,
2013,Toyota,Tacoma Base,Pickup,21,0,22000,0,,,,,
2015,Cadillac,Escalade ESV Luxury,SUV,16,1,80000,0,,,,,
2021,Chevrolet,Corvette Stingray w/2LT,Coupe,17,1,65000,1,,,,,
2016,Lexus,GX 460 Premium,SUV,15,1,55000,0,,,,,
2020,Lincoln,Navigator Reserve,SUV,18,1,82995,0,,,,,
2017,Chevrolet,Suburban LT,SUV,22,1,60000,0,,,,,
2020,Land,Rover Range Rover 5.0L Supercharged,SUV,18,1,100000,0,,,,,
2017,Mercedes-Benz,C-Class C 300 4MATIC Sport,Sedan,25,1,40000,0,,,,,
2021,Mercedes-Benz,E-Class E 400,Sedan,22,1,62700,0,,,,,
2022,Ford,F-150 Lariat,Pickup,20,1,45000,0,,,,,
2018,Nissan,Armada Platinum,SUV,14,1,61000,0,,,,,
2016,Land,Rover Range Rover Evoque R-Dynamic HSE,SUV,24,1,52000,0,,,,,
2020,Toyota,GR86 Base,Coupe,24,0,29000,0,,,,,
2019,Audi,A3 2.0T Tech Premium,Sedan,29,0,36300,0,,,,,
2014,Audi,S5 3.0T Premium Plus,Coupe,18,1,61000,0,,,,,
2014,Ford,F-150 Lariat,Pickup,18,1,45000,0,,,,,
2013,Lexus,LS 460 Base,Sedan,19,0,72000,0,,,,,
2020,Mercedes-Benz,AMG CLA 45 Base 4MATIC,Sedan,24,1,55000,0,,,,,
2014,Mercedes-Benz,SL-Class SL 550,Convertible,19,1,104000,0,,,,,
2021,Ford,F-150 Platinum,Pickup,20,1,59745,0,,,,,
2020,Maserati,MC20 Base,Coupe,24,0,210000,1,,,,,
2022,Lincoln,Navigator Reserve,SUV,18,1,83960,0,,,,,
2021,Land,Rover Defender X,SUV,17,1,85000,1,,,,,
2023,Chevrolet,Corvette Stingray w/1LT,Coupe,15,0,63900,1,,,,,
2011,BMW,740 i,Sedan,20,1,80000,0,,,,,
2015,Volkswagen,Golf GTI 2.0T SE 4-Door,Hatchback,25,0,28900,0,,,,,
2022,Dodge,Challenger SRT Demon,Coupe,13,1,84995,1,,,,,
2008,Volkswagen,Jetta GLX VR6,Sedan,22,1,25000,0,,,,,
2021,Dodge,Durango R/T,SUV,14,1,63490,0,,,,,
2019,Mercedes-Benz,AMG G 63 Base,SUV,13,1,156450,1,,,,,
2016,Cadillac,Escalade ESV Platinum,SUV,17,1,90000,0,,,,,
2011,RAM,2500 SLT,Pickup,11,0,35000,0,,,,,
2001,Dodge,Dakota SLT Quad Cab,Pickup,15,0,25000,0,,,,,
2020,Lexus,NX 350 F SPORT Handling,SUV,24,1,41000,0,,,,,
2015,Subaru,Outback 2.5i Limited,SUV,26,0,31995,0,,,,,
2007,Volkswagen,GTI Base,Hatchback,24,0,23000,0,,,,,
2017,Jeep,Wrangler Unlimited Sahara,SUV,18,1,38000,0,,,,,
2014,Lexus,RX 350 F Sport,SUV,24,1,45900,0,,,,,
2021,Ford,Expedition Timberline,SUV,17,1,70155,0,,,,,
2023,Land,Rover Defender X,SUV,18,1,82000,0,,,,,
2014,Chevrolet,Suburban 1500 LTZ,SUV,16,1,60940,0,,,,,
2012,BMW,328 i,Sedan,22,0,35000,0,,,,,
2007,BMW,M3 Base,Coupe,16,1,57900,1,,,,,
2016,Audi,A5 2.0T Premium Plus,Coupe,26,1,49000,0,,,,,
2017,Chevrolet,Camaro 2SS,Coupe,18,1,42995,0,,,,,
2005,Ford,Excursion Limited,SUV,12,1,58270,0,,,,,
2018,Chrysler,200 Limited,Sedan,23,0,25000,0,,,,,
2013,Audi,allroad 2.0T Prestige,SUV,20,1,45000,0,,,,,
2023,Maserati,GranTurismo Sport,Coupe,20,1,215000,1,,,,,
2018,Toyota,Tacoma TRD Sport,Pickup,21,0,33500,0,,,,,
2014,Hyundai,Accent GL,Sedan,29,0,15000,0,,,,,
2020,Maserati,Ghibli S GranLusso,Sedan,20,1,103000,0,,,,,
2018,BMW,M4 Base,Coupe,20,1,68800,1,,,,,
2022,RAM,1500 Laramie,Pickup,22,1,45000,0,,,,,
2009,Ford,Flex SEL,SUV,20,0,30000,0,,,,,
2012,Lexus,LS 460 Base,Sedan,19,0,66500,0,,,,,
2010,Mitsubishi,Lancer DE,Sedan,26,0,17999,0,,,,,
2000,Jaguar,XJ8 L,Sedan,18,0,60000,0,,,,,
2017,Lexus,GX 460 Base,SUV,15,0,52905,0,,,,,
2004,Ford,F-250 XLT Super Duty,Pickup,15,0,29500,0,,,,,
2021,Mercedes-Benz,GLC 300 GLC 300,SUV,24,0,43000,0,,,,,
2008,Honda,Civic EX,Sedan,30,0,19000,0,,,,,
2014,BMW,M6 Base,Coupe,18,1,113000,1,,,,,
2017,Mazda,Mazda6 Signature,Sedan,26,1,35000,0,,,,,
2020,Mercedes-Benz,AMG GT 63 S 4-Door,Sedan,15,1,162900,1,,,,,
2021,BMW,M4 Competition xDrive,Coupe,16,1,73800,1,,,,,
2019,Ford,F-150 Lariat,Pickup,20,1,40000,0,,,,,
2016,Mercedes-Benz,AMG G AMG G 63 4MATIC,SUV,13,1,150000,1,,,,,
2008,BMW,M3 Base,Coupe,14,1,57800,1,,,,,
2007,Mazda,MX-5 Miata Grand Touring,Convertible,22,1,27800,0,,,,,
2017,Chevrolet,Suburban Premier,SUV,18,1,75800,0,,,,,
2022,Ford,Expedition Max Limited,SUV,18,1,76000,0,,,,,
2015,Chevrolet,Suburban LTZ,SUV,22,1,70000,0,,,,,
2010,Hyundai,Genesis Coupe 3.8 Track,Coupe,18,1,31900,0,,,,,
2013,Chrysler,300 Touring,Sedan,19,0,30000,0,,,,,
2011,Mercedes-Benz,GL-Class GL 450 4MATIC,SUV,14,1,59500,0,,,,,
2019,Land,Rover Range Rover Sport HSE,SUV,20,1,66850,0,,,,,
2007,Volkswagen,CC Sport,Sedan,20,0,28000,0,,,,,
2007,Jeep,Wrangler Sport,SUV,20,0,24000,0,,,,,
2014,Audi,S4 3.0T Premium Plus,Sedan,18,1,50000,0,,,,,
2021,Porsche,911 Turbo S,Coupe,18,1,207000,1,,,,,
2019,Cadillac,Escalade ESV Platinum,SUV,14,1,89995,0,,,,,
2017,Ford,Explorer XLT,SUV,20,0,31500,0,,,,,
2021,Ford,F-250 King Ranch,Pickup,20,1,56300,0,,,,,
2015,Lincoln,MKZ Base,Sedan,29,0,36000,0,,,,,
2005,Toyota,Tundra SR5 Access Cab,Pickup,15,0,25000,0,,,,,
2021,Jeep,Grand Cherokee L Limited,SUV,21,1,55000,0,,,,,
2017,Land,Rover Range Rover 5.0L Supercharged,SUV,18,1,111000,0,,,,,
2018,Mercedes-Benz,S-Class S 550 4MATIC,Sedan,18,1,96000,0,,,,,
2012,Mercedes-Benz,E-Class E 350 4MATIC,Sedan,20,0,55900,0,,,,,
2022,Mercedes-Benz,AMG GT 53 Base,Coupe,20,1,100000,0,,,,,
2005,Toyota,Camry Solara SLE V6,Coupe,21,1,25900,0,,,,,
2018,Ford,F-150 Lariat,Pickup,20,1,42000,0,,,,,
2008,BMW,M240 i xDrive,Sedan,22,1,40000,0,,,,,
2023,Mercedes-Benz,S-Class S 560 4MATIC,Sedan,20,1,100000,0,,,,,
2015,Ford,Transit Connect XLT,Minivan,24,0,24490,0,,,,,
2018,INFINITI,QX80 Base,SUV,14,0,64900,0,,,,,
2021,Jeep,Grand Cherokee Limited,SUV,22,1,43690,0,,,,,
2022,Jeep,Gladiator Rubicon,Pickup,22,1,50775,0,,,,,
2008,RAM,1500 Laramie,Pickup,15,1,30500,0,,,,,
2003,Lexus,RX 330 Base,SUV,20,0,35000,0,,,,,
2018,BMW,528 i xDrive,Sedan,24,1,52000,0,,,,,
2017,Tesla,Model S 85D,Sedan,90,1,75000,0,,,,,
2018,Lamborghini,Aventador S Base,Coupe,10,1,421321,1,,,,,
2015,BMW,M3 Base,Sedan,17,1,64900,1,,,,,
2020,BMW,M3 CS,Sedan,20,1,100000,1,,,,,
2021,Chevrolet,Camaro 1SS,Coupe,19,1,42900,0,,,,,
2014,Hyundai,Veloster Base,Hatchback,30,0,18400,0,,,,,
2011,Porsche,Cayenne AWD,SUV,18,1,60000,0,,,,,
2007,Ford,E250 Cargo,Van,0,0,0,0,,,,,
2022,Cadillac,Escalade Premium Luxury Platinum,SUV,17,1,113595,0,,,,,
2017,Audi,A5 2.0T Premium,Coupe,25,1,42500,0,,,,,
2022,Tesla,Model S Long Range Plus,Sedan,120,1,79990,0,,,,,
2023,Toyota,Supra A91-MT Edition,Coupe,22,1,60500,0,,,,,
2016,Audi,A4 2.0T Premium Plus quattro,Sedan,24,1,42100,0,,,,,
2009,GMC,Sierra 1500 SLE,Pickup,14,0,30000,0,,,,,
2006,Chevrolet,Corvette Z06,Coupe,19,1,65000,1,,,,,
2018,Jeep,Wrangler Unlimited Rubicon,SUV,21,1,41190,0,,,,,
2015,Lexus,IS 300 Base,Sedan,21,0,39900,0,,,,,
2022,Mercedes-Benz,AMG GLE 53 AMG GLE 53,SUV,19,1,73300,0,,,,,
2014,Mercedes-Benz,CLS-Class CLS 63 AMG S-Model 4MATIC,Sedan,19,1,106600,0,,,,,
2019,Land,Rover Range Rover 5.0L V8 Supercharged,SUV,15,1,90000,0,,,,,
2011,Audi,A4 2.0T Premium,Sedan,24,1,32900,0,,,,,
2007,MINI,Cooper S Base,Hatchback,30,1,23000,0,,,,,
2019,Land,Rover Range Rover Evoque SE Premium,SUV,24,1,48700,0,,,,,
2015,Audi,S4 3.0T Premium Plus,Sedan,22,1,50750,0,,,,,
2019,Audi,SQ5 3.0T Premium Plus,SUV,21,1,55600,0,,,,,
2008,Acura,TLX V6 Advance,Sedan,20,1,35000,0,,,,,
2004,Toyota,Camry Solara SLE,Coupe,24,0,27000,0,,,,,
2006,Cadillac,DTS Base,Sedan,15,0,47000,0,,,,,
2010,Chevrolet,Camaro 1LT,Coupe,19,0,24000,0,,,,,
2004,Buick,Town Car Signature,Sedan,18,1,40000,0,,,,,
2017,Ford,Expedition EL XLT,SUV,18,0,50000,0,,,,,
2022,Rivian,R1S Adventure Package,SUV,74,1,74900,0,,,,,
2019,Ford,F-150 XLT,Pickup,20,0,43000,0,,,,,
2005,Chevrolet,Corvette Base,Coupe,19,1,49995,1,,,,,
2023,Toyota,Sequoia Platinum,SUV,20,1,74900,0,,,,,
2019,Chevrolet,Silverado 1500 High Country,Pickup,20,1,60000,0,,,,,
2019,Audi,Q8 3.0T Prestige,SUV,17,1,74900,0,,,,,
2012,Nissan,Juke SL,SUV,27,1,23900,0,,,,,
2009,Mercedes-Benz,SL-Class SL63 AMG Roadster,Convertible,18,1,139500,1,,,,,
2016,Audi,A4 2.0T Premium,Sedan,26,0,35000,0,,,,,
2008,Chevrolet,Corvette Base,Convertible,18,0,50000,1,,,,,
2019,BMW,530 i,Sedan,26,1,52000,0,,,,,
2016,Land,Rover Range Rover Sport Supercharged HSE,SUV,14,1,83700,0,,,,,
2019,Nissan,Armada SL,SUV,14,0,60400,0,,,,,
2008,Dodge,Ram 1500 ST,Pickup,16,0,22000,0,,,,,
2007,Mercedes-Benz,C-Class C280 4MATIC,Sedan,20,0,37000,0,,,,,
2023,BMW,M4 Competition xDrive,Coupe,16,1,74800,0,,,,,
2021,Audi,Q7 Premium Plus,SUV,21,1,64400,0,,,,,
2017,Land,Rover Range Rover Sport Supercharged HSE,SUV,22,1,78500,0,,,,,
2023,Chevrolet,Corvette Stingray w/3LT,Coupe,15,1,80000,1,,,,,
2020,Tesla,Model Y Performance,SUV,15,1,59990,0,,,,,
2018,BMW,650 Gran Coupe i xDrive,Coupe,22,1,96000,0,,,,,
2008,Saturn,Sky Base,Convertible,20,0,27000,0,,,,,
2017,Ford,F-150 XLT,Pickup,20,0,35000,0,,,,,
2011,Lexus,RX 450h Base,SUV,30,0,45800,0,,,,,
2019,Ford,Mustang GT Premium,Coupe,15,1,45000,0,,,,,
2021,Jeep,Gladiator Willys,Pickup,22,0,44000,0,,,,,
2017,Land,Rover Range Rover Sport HSE,SUV,22,1,69900,0,,,,,
2017,INFINITI,QX60 Base,SUV,20,0,44000,0,,,,,
2015,Chevrolet,Camaro 2SS,Coupe,16,1,38900,0,,,,,
2022,Kia,Sorento LX V6,SUV,24,0,30590,0,,,,,
2013,RAM,3500 Tradesman,Pickup,14,0,30000,0,,,,,
2011,Lexus,IS 250 Base,Sedan,20,0,32950,0,,,,,
2019,Mercedes-Benz,C-Class C 300,Sedan,27,1,41000,0,,,,,
2016,Mercedes-Benz,AMG G 63 Base,SUV,13,1,148900,1,,,,,
2012,MINI,Cooper S Base,Hatchback,28,0,23000,0,,,,,
2018,Chevrolet,Colorado ZR2,Pickup,18,1,43000,0,,,,,
2019,Lincoln,MKC Reserve,SUV,24,1,40845,0,,,,,
2011,Cadillac,CTS Base,Sedan,20,0,35000,0,,,,,
2020,Ford,Explorer XLT,SUV,24,0,35500,0,,,,,
2007,Dodge,Ram 1500 ST,Pickup,16,0,22995,0,,,,,
2008,Land,Rover Range Rover HSE,SUV,14,1,83500,0,,,,,
2018,Chevrolet,Suburban LT,SUV,20,0,57000,0,,,,,
2008,MINI,Cooper Base,Hatchback,28,0,20000,0,,,,,
2019,Audi,A6 55 Prestige,Sedan,25,1,60000,0,,,,,
2015,Chevrolet,Suburban LT,SUV,18,0,51800,0,,,,,
2018,Land,Rover Range Rover 3.0L Supercharged HSE,SUV,20,1,87000,0,,,,,
2017,Land,Rover Range Rover 3.0L Supercharged HSE,SUV,18,1,90000,0,,,,,
2012,Audi,S4 3.0 Prestige,Sedan,20,1,50000,0,,,,,
2014,Porsche,Panamera 4S,Sedan,20,1,100000,0,,,,,
2016,Cadillac,XT6 Premium Luxury AWD,SUV,20,1,60000,0,,,,,
2007,Lexus,GX 470 Base,SUV,15,0,50000,0,,,,,
2008,Honda,Element EX,SUV,20,0,23900,0,,,,,
2009,BMW,M3 Base,Coupe,14,1,62000,1,,,,,
2005,Chevrolet,Camaro 2SS,Coupe,18,0,30000,1,,,,,
2015,Toyota,Tundra SR5 Access Cab,Pickup,15,0,33000,0,,,,,
2020,Ford,Edge SEL,SUV,25,0,33500,0,,,,,
2017,Lexus,RX 350 Base,SUV,20,0,42950,0,,,,,
2012,Land,Rover Range Rover Sport HSE,SUV,14,1,58900,0,,,,,
2019,Toyota,Highlander Limited Platinum,SUV,20,1,45000,0,,,,,
2009,Chevrolet,Avalanche 1500 LT,Pickup,14,0,35300,0,,,,,
2020,Porsche,Macan S,SUV,19,1,63500,0,,,,,
2016,Land,Rover Range Rover Supercharged LWB,SUV,16,1,110000,0,,,,,
2021,Tesla,Model Y Long Range,SUV,131,1,53990,0,,,,,
2015,Acura,TLX V6 Advance,Sedan,21,1,43000,0,,,,,
2011,Lexus,RX 350 Base,SUV,22,0,39400,0,,,,,
2023,Land,Rover Range Rover Sport P400 SE Dynamic,SUV,22,1,75000,0,,,,,
2008,Cadillac,Escalade Base,SUV,12,0,65490,0,,,,,
2023,Tesla,Model Y Performance,SUV,110,1,66990,0,,,,,
2013,Hyundai,Genesis 5,Sedan,24,0,35000,0,,,,,
2017,Cadillac,Escalade ESV Platinum,SUV,17,1,100000,0,,,,,
2016,Land,Rover Range Rover 5.0L Supercharged Autobiography LWB,SUV,14,1,180000,0,,,,,
2004,Land,Rover Discovery LSE,SUV,15,0,40000,0,,,,,
2019,Kia,Sorento Plug-In Hybrid SX Prestige,SUV,30,1,45000,0,,,,,
2022,Audi,Q7 Premium Plus,SUV,21,1,62900,0,,,,,
2012,INFINITI,G37 x,Sedan,20,0,35100,0,,,,,
2020,Land,Rover Range Rover Velar P250 S R-Dynamic,SUV,24,1,59900,0,,,,,
2021,Toyota,4Runner SR5,SUV,16,0,36740,0,,,,,
2021,Ford,F-PACE S,SUV,23,1,65000,0,,,,,
2017,Nissan,Armada Platinum,SUV,19,1,65000,0,,,,,
2011,Ford,Expedition EL Limited,SUV,14,1,54670,0,,,,,
2023,Lexus,GX 460 Premium,SUV,15,1,60000,0,,,,,
2005,Hyundai,Genesis Coupe 3.8 Track,Coupe,18,0,29500,0,,,,,
2007,Mercedes-Benz,SL-Class SL600 Roadster,Convertible,15,1,137600,0,,,,,
2012,Cadillac,CTS Luxury,Sedan,20,1,43000,0,,,,,
2021,Ford,F-150 XLT,Pickup,20,0,40000,0,,,,,
2018,Toyota,Tundra SR5,Pickup,15,0,37000,0,,,,,
2004,Toyota,FJ Cruiser Base,SUV,16,0,25000,0,,,,,
2014,Mercedes-Benz,E-Class E 350,Sedan,21,1,52800,0,,,,,
2020,Hyundai,Tucson SEL,SUV,25,0,28500,0,,,,,
2021,Ford,Mustang Bullitt,Coupe,15,1,50000,1,,,,,
2018,Porsche,Cayenne S,SUV,18,1,80100,0,,,,,
2016,INFINITI,QX56 Base,SUV,14,1,65750,0,,,,,
2019,Porsche,Macan S,SUV,22,1,61000,0,,,,,
2014,BMW,i3 Base w/Range Extender,Hatchback,97,0,45700,0,,,,,
2008,Pontiac,Solstice GXP,Convertible,19,1,30745,0,,,,,
2017,BMW,M4 Base,Coupe,21,1,67800,0,,,,,
2012,Land,Rover Range Rover Sport Supercharged HSE,SUV,12,1,61900,0,,,,,
2017,Lincoln,MKZ Reserve,Sedan,25,1,40000,0,,,,,
2018,Audi,SQ5 3.0T Prestige,SUV,19,1,55000,0,,,,,
2022,Mercedes-Benz,GLE 350 Base,SUV,20,0,54300,0,,,,,
2003,Hummer,H2 Base,SUV,10,0,50000,0,,,,,
2017,Chevrolet,Silverado 1500 Limited Custom,Pickup,18,0,36000,0,,,,,
2016,Jeep,Wrangler Sport,SUV,17,0,24000,0,,,,,
2021,Cadillac,Escalade Premium Luxury Platinum,SUV,17,1,94995,0,,,,,
2021,Tesla,Model X Long Range Plus,SUV,90,1,89990,0,,,,,
2007,Toyota,Camry Solara SLE V6,Coupe,21,0,28920,0,,,,,
2011,BMW,328 i,Sedan,20,0,35000,0,,,,,
2018,Audi,A5 2.0T Premium,Coupe,26,1,50800,0,,,,,
2014,BMW,M235 i,Coupe,22,1,44000,0,,,,,
2022,Ford,Bronco Wildtrak Advanced,SUV,20,1,60000,0,,,,,
2014,Nissan,Pathfinder Silver,SUV,20,0,29000,0,,,,,
2020,BMW,530 i xDrive,Sedan,25,0,55900,0,,,,,
2021,Chevrolet,Silverado 1500 LT Trail Boss,Pickup,17,0,48700,0,,,,,
2019,Audi,A8 L 55,Sedan,23,1,83500,0,,,,,
2015,BMW,435 i xDrive,Coupe,26,1,50000,0,,,,,
2023,Lamborghini,Aventador SVJ Base,Coupe,10,1,517000,1,,,,,
2019,Ford,Expedition Max Limited,SUV,20,1,73995,0,,,,,
2010,GMC,Terrain SLT-1,SUV,23,0,29000,0,,,,,
2021,Ford,F-150 Lariat,Pickup,19,1,49000,0,,,,,
2021,Porsche,Carrera GT Base,Coupe,15,1,210000,1,,,,,
2021,Alfa,Romeo Giulia Ti,Sedan,24,0,41900,0,,,,,
2015,INFINITI,QX70 Base,SUV,18,0,45500,0,,,,,
2021,INFINITI,QX80 Luxe,SUV,14,1,67900,0,,,,,
2002,Dodge,Ram 1500 SRT-10,Pickup,10,1,50000,1,,,,,
2019,Buick,Enclave Avenir,SUV,18,1,58000,0,,,,,
2013,BMW,750 Li xDrive,Sedan,18,1,81800,0,,,,,
1999,Toyota,Camry Solara SLE V6,Coupe,20,1,24000,0,,,,,
2017,Acura,ILX Technology Plus Package,Sedan,25,1,30450,0,,,,,
2015,RAM,1500 Big Horn,Pickup,20,0,39700,0,,,,,
2012,Toyota,Highlander Limited,SUV,20,1,40000,0,,,,,
2020,Ford,Explorer Timberline,SUV,18,1,47000,0,,,,,
2011,Land,Rover Discovery LSE,SUV,12,1,55000,0,,,,,
2016,Jeep,Wrangler Unlimited Sahara,SUV,21,0,41400,0,,,,,
2023,Ford,Bronco Outer Banks,SUV,20,1,43000,0,,,,,
2019,Ford,F-150 Platinum,Pickup,20,1,63700,0,,,,,
2020,INFINITI,QX56 Base,SUV,19,1,65900,0,,,,,
2019,Mercedes-Benz,AMG C 63 Base,Sedan,20,1,68300,1,,,,,
2010,Toyota,Camry Hybrid XLE,Sedan,33,1,30000,0,,,,,
2021,Jeep,Wrangler Unlimited Sahara,SUV,22,1,44300,0,,,,,
2019,Audi,R8 5.2 V10 plus,Convertible,14,1,208000,1,,,,,
2016,Audi,A8 L 3.0T,Sedan,24,0,83000,0,,,,,
2015,Toyota,Highlander Limited Platinum,SUV,20,1,44990,0,,,,,
2018,Porsche,718 Cayman GTS,Coupe,20,1,80000,0,,,,,
2018,Land,Rover Discovery HSE LUXURY,SUV,21,1,61900,0,,,,,
2016,Mercedes-Benz,E-Class E 350,Sedan,21,0,53900,0,,,,,
2023,Mercedes-Benz,AMG E 53 Base 4MATIC,Sedan,21,1,75200,0,,,,,
2019,Mercedes-Benz,AMG GLE AMG GLE 63 S-Model 4MATIC,SUV,18,1,115000,0,,,,,
2008,Land,Rover Range Rover Autobiography,SUV,12,1,102200,1,,,,,
2023,Lexus,LC 500 Base,Coupe,19,1,94300,0,,,,,
2018,Chevrolet,Silverado 2500 High Country,Pickup,15,1,60000,0,,,,,
2012,BMW,335 i,Sedan,20,0,40000,0,,,,,
2022,Porsche,911 GT3 RS,Coupe,15,1,218000,1,,,,,
2010,GMC,Canyon Denali,Pickup,18,1,35000,0,,,,,
2011,Ford,E350 Super Duty XLT,Minivan,12,0,35000,0,,,,,
2018,BMW,M5 Base,Sedan,18,1,102600,0,,,,,
2014,Subaru,BRZ Limited,Coupe,22,1,29000,0,,,,,
2007,Acura,RDX Base,SUV,20,0,32990,0,,,,,
2023,Chevrolet,Corvette Stingray w/2LT,Coupe,20,1,68000,1,,,,,
2002,Ford,Thunderbird Deluxe,Convertible,20,0,37000,1,,,,,
2008,BMW,650 i,Convertible,15,1,85000,0,,,,,
2019,Mercedes-Benz,C-Class C 300 4MATIC,Sedan,24,1,41200,0,,,,,
2005,Acura,MDX Touring,SUV,20,1,42000,0,,,,,
2005,Chrysler,Crossfire Limited,Coupe,20,1,33990,0,,,,,
2021,Lexus,LX 570 Three-Row,SUV,18,0,86000,0,,,,,
2010,MINI,Cooper S Base,Hatchback,34,1,24000,0,,,,,
2017,Tesla,Model S P100D,Sedan,99,1,135000,1,,,,,
